gene,pcc,n_units,pcc_fold00_A,pcc_fold01_B,pcc_fold02_C,pcc_fold03_D,pcc_fold04_E,pcc_fold05_F,pcc_fold06_G,pcc_fold07_H
BRK1,0.06863711914047599,8,0.034243062138557434,0.13990193605422974,0.1608610451221466,0.08826274424791336,-0.05357290059328079,-0.05081223323941231,0.16139915585517883,0.06881414353847504
BRPF1,0.051673158654011786,8,0.026745185256004333,0.011436354368925095,0.0688699409365654,0.08361497521400452,0.011203550733625889,0.06681158393621445,0.049745336174964905,0.0949583426117897
BSG,0.03857113281264901,8,-0.005918826907873154,-0.19724725186824799,0.12545913457870483,0.12394987791776657,-0.07634378224611282,-0.046899303793907166,0.24017001688480377,0.14539919793605804
BST2,0.05852157511981204,8,-0.02329140342772007,0.21725066006183624,0.09418991953134537,-0.007209220435470343,-0.03822046145796776,-0.02531895972788334,0.1726420521736145,0.07813001424074173
BTG1,0.06502659880788997,8,0.04286884143948555,-0.25140702724456787,0.1496245265007019,0.25411149859428406,0.002896683756262064,0.07120021432638168,0.1573430895805359,0.09357496351003647
C10orf10,-0.027676130703184754,8,-0.03050326369702816,-0.07880339026451111,-0.04856991767883301,-0.020825931802392006,-0.04421987012028694,0.027102844789624214,-0.02125612273812294,-0.00433339411392808
C10orf54,0.045350792119279504,8,-0.023804642260074615,0.1495101898908615,0.04687603563070297,-0.00971820019185543,-0.030870623886585236,-0.06393545866012573,0.13857631385326385,0.1561727225780487
C12orf45,0.09431023371871561,8,0.04345117136836052,0.19286029040813446,0.1035517156124115,0.20553559064865112,-0.00404087919741869,0.028157588094472885,0.05988732725381851,0.12507906556129456
C15orf61,0.04514742735773325,8,0.013591771945357323,0.015190836042165756,0.09631132334470749,0.11980736255645752,-0.016124485060572624,-0.01835567131638527,0.06402848660945892,0.08672979474067688
C19orf24,0.05523676914162934,8,0.03657803684473038,0.14746171236038208,0.07718691974878311,0.1028016060590744,-0.012052135542035103,-0.04812399297952652,0.11867838352918625,0.01936362311244011
